fold,horizon_bucket,radius_90,covered
2,Days 1–7,19.939559847946384,True
2,Days 1–7,19.939559847946384,True
2,Days 1–7,19.939559847946384,True
2,Days 1–7,19.939559847946384,True
2,Days 1–7,19.939559847946384,True
2,Days 1–7,19.939559847946384,True
2,Days 1–7,19.939559847946384,True
2,Days 1–7,19.939559847946384,True
2,Days 1–7,19.939559847946384,True
2,Days 1–7,19.939559847946384,True
2,Days 1–7,19.939559847946384,True
2,Days 1–7,19.939559847946384,True
2,Days 1–7,19.939559847946384,True
2,Days 1–7,19.939559847946384,True
2,Days 1–7,19.939559847946384,True
2,Days 1–7,19.939559847946384,True
2,Days 1–7,19.939559847946384,True
2,Days 1–7,19.939559847946384,True
2,Days 1–7,19.939559847946384,True
2,Days 1–7,19.939559847946384,True
2,Days 1–7,19.939559847946384,True
2,Days 8–21,11.000704385251197,True
2,Days 8–21,11.000704385251197,True
2,Days 8–21,11.000704385251197,True
2,Days 8–21,11.000704385251197,True
2,Days 8–21,11.000704385251197,True
2,Days 8–21,11.000704385251197,True
2,Days 8–21,11.000704385251197,True
2,Days 8–21,11.000704385251197,False
2,Days 8–21,11.000704385251197,True
2,Days 8–21,11.000704385251197,True
2,Days 8–21,11.000704385251197,False
2,Days 8–21,11.000704385251197,True
2,Days 8–21,11.000704385251197,True
2,Days 8–21,11.000704385251197,True
2,Days 8–21,11.000704385251197,True
2,Days 8–21,11.000704385251197,True
2,Days 8–21,11.000704385251197,True
2,Days 8–21,11.000704385251197,True
2,Days 8–21,11.000704385251197,True
2,Days 8–21,11.000704385251197,True
2,Days 8–21,11.000704385251197,True
2,Days 8–21,11.000704385251197,True
2,Days 8–21,11.000704385251197,True
2,Days 8–21,11.000704385251197,True
2,Days 8–21,11.000704385251197,True
2,Days 8–21,11.000704385251197,True
2,Days 8–21,11.000704385251197,True
2,Days 8–21,11.000704385251197,True
2,Days 8–21,11.000704385251197,False
2,Days 8–21,11.000704385251197,True
2,Days 8–21,11.000704385251197,True
2,Days 8–21,11.000704385251197,False
2,Days 8–21,11.000704385251197,True
2,Days 8–21,11.000704385251197,True
2,Days 8–21,11.000704385251197,False
2,Days 8–21,11.000704385251197,False
2,Days 8–21,11.000704385251197,True
2,Days 8–21,11.000704385251197,True
2,Days 8–21,11.000704385251197,True
2,Days 8–21,11.000704385251197,True
2,Days 8–21,11.000704385251197,True
2,Days 8–21,11.000704385251197,False
2,Days 22–30,10.51782273667132,True
2,Days 22–30,10.51782273667132,False
2,Days 22–30,10.51782273667132,True
2,Days 22–30,10.51782273667132,True
2,Days 22–30,10.51782273667132,True
2,Days 22–30,10.51782273667132,True
2,Days 22–30,10.51782273667132,True
2,Days 22–30,10.51782273667132,True
2,Days 22–30,10.51782273667132,True
2,Days 22–30,10.51782273667132,True
2,Days 22–30,10.51782273667132,False
2,Days 22–30,10.51782273667132,False
2,Days 22–30,10.51782273667132,True
2,Days 22–30,10.51782273667132,False
2,Days 22–30,10.51782273667132,True
2,Days 22–30,10.51782273667132,False
2,Days 22–30,10.51782273667132,True
2,Days 22–30,10.51782273667132,True
2,Days 22–30,10.51782273667132,True
2,Days 22–30,10.51782273667132,True
2,Days 22–30,10.51782273667132,False
2,Days 22–30,10.51782273667132,True
2,Days 22–30,10.51782273667132,True
2,Days 22–30,10.51782273667132,True
2,Days 22–30,10.51782273667132,True
2,Days 22–30,10.51782273667132,False
2,Days 22–30,10.51782273667132,False
3,Days 1–7,17.197858977759097,True
3,Days 1–7,17.197858977759097,True
3,Days 1–7,17.197858977759097,True
3,Days 1–7,17.197858977759097,True
3,Days 1–7,17.197858977759097,True
3,Days 1–7,17.197858977759097,True
3,Days 1–7,17.197858977759097,True
3,Days 1–7,17.197858977759097,True
3,Days 1–7,17.197858977759097,True
3,Days 1–7,17.197858977759097,True
3,Days 1–7,17.197858977759097,True
3,Days 1–7,17.197858977759097,True
3,Days 1–7,17.197858977759097,True
3,Days 1–7,17.197858977759097,True
3,Days 1–7,17.197858977759097,True
3,Days 1–7,17.197858977759097,True
3,Days 1–7,17.197858977759097,True
3,Days 1–7,17.197858977759097,True
3,Days 1–7,17.197858977759097,True
3,Days 1–7,17.197858977759097,True
3,Days 1–7,17.197858977759097,True
3,Days 8–21,11.554647192384465,True
3,Days 8–21,11.554647192384465,False
3,Days 8–21,11.554647192384465,True
3,Days 8–21,11.554647192384465,True
3,Days 8–21,11.554647192384465,False
3,Days 8–21,11.554647192384465,True
3,Days 8–21,11.554647192384465,True
3,Days 8–21,11.554647192384465,True
3,Days 8–21,11.554647192384465,True
3,Days 8–21,11.554647192384465,True
3,Days 8–21,11.554647192384465,True
3,Days 8–21,11.554647192384465,True
3,Days 8–21,11.554647192384465,True
3,Days 8–21,11.554647192384465,False
3,Days 8–21,11.554647192384465,True
3,Days 8–21,11.554647192384465,True
3,Days 8–21,11.554647192384465,False
3,Days 8–21,11.554647192384465,True
3,Days 8–21,11.554647192384465,True
3,Days 8–21,11.554647192384465,True
3,Days 8–21,11.554647192384465,True
3,Days 8–21,11.554647192384465,True
3,Days 8–21,11.554647192384465,True
3,Days 8–21,11.554647192384465,True
3,Days 8–21,11.554647192384465,True
3,Days 8–21,11.554647192384465,False
3,Days 8–21,11.554647192384465,True
3,Days 8–21,11.554647192384465,True
3,Days 8–21,11.554647192384465,True
3,Days 8–21,11.554647192384465,True
3,Days 8–21,11.554647192384465,True
3,Days 8–21,11.554647192384465,False
3,Days 8–21,11.554647192384465,True
3,Days 8–21,11.554647192384465,True
3,Days 8–21,11.554647192384465,True
3,Days 8–21,11.554647192384465,True
3,Days 8–21,11.554647192384465,True
3,Days 8–21,11.554647192384465,True
3,Days 8–21,11.554647192384465,True
3,Days 8–21,11.554647192384465,True
3,Days 8–21,11.554647192384465,True
3,Days 8–21,11.554647192384465,True
3,Days 22–30,14.553969747807855,True
3,Days 22–30,14.553969747807855,True
3,Days 22–30,14.553969747807855,True
3,Days 22–30,14.553969747807855,True
3,Days 22–30,14.553969747807855,True
3,Days 22–30,14.553969747807855,True
3,Days 22–30,14.553969747807855,True
3,Days 22–30,14.553969747807855,True
3,Days 22–30,14.553969747807855,True
3,Days 22–30,14.553969747807855,True
3,Days 22–30,14.553969747807855,True
3,Days 22–30,14.553969747807855,True
3,Days 22–30,14.553969747807855,True
3,Days 22–30,14.553969747807855,False
3,Days 22–30,14.553969747807855,True
3,Days 22–30,14.553969747807855,True
3,Days 22–30,14.553969747807855,True
3,Days 22–30,14.553969747807855,True
3,Days 22–30,14.553969747807855,True
3,Days 22–30,14.553969747807855,True
3,Days 22–30,14.553969747807855,True
3,Days 22–30,14.553969747807855,True
3,Days 22–30,14.553969747807855,True
3,Days 22–30,14.553969747807855,True
3,Days 22–30,14.553969747807855,True
3,Days 22–30,14.553969747807855,False
3,Days 22–30,14.553969747807855,True
4,Days 1–7,14.51202229147708,True
4,Days 1–7,14.51202229147708,False
4,Days 1–7,14.51202229147708,True
4,Days 1–7,14.51202229147708,True
4,Days 1–7,14.51202229147708,True
4,Days 1–7,14.51202229147708,True
4,Days 1–7,14.51202229147708,True
4,Days 1–7,14.51202229147708,True
4,Days 1–7,14.51202229147708,True
4,Days 1–7,14.51202229147708,True
4,Days 1–7,14.51202229147708,False
4,Days 1–7,14.51202229147708,True
4,Days 1–7,14.51202229147708,True
4,Days 1–7,14.51202229147708,False
4,Days 1–7,14.51202229147708,True
4,Days 1–7,14.51202229147708,True
4,Days 1–7,14.51202229147708,True
4,Days 1–7,14.51202229147708,True
4,Days 1–7,14.51202229147708,True
4,Days 1–7,14.51202229147708,False
4,Days 1–7,14.51202229147708,True
4,Days 8–21,11.801449291348263,True
4,Days 8–21,11.801449291348263,False
4,Days 8–21,11.801449291348263,True
4,Days 8–21,11.801449291348263,True
4,Days 8–21,11.801449291348263,True
4,Days 8–21,11.801449291348263,True
4,Days 8–21,11.801449291348263,False
4,Days 8–21,11.801449291348263,True
4,Days 8–21,11.801449291348263,True
4,Days 8–21,11.801449291348263,True
4,Days 8–21,11.801449291348263,True
4,Days 8–21,11.801449291348263,True
4,Days 8–21,11.801449291348263,True
4,Days 8–21,11.801449291348263,False
